섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,217,276,235,232,170,261,184,198,115,115,147,133,2568
구조활동,기타,82,195,94,115,99,124,82,62,67,35,36,73,1209
구조활동,실종·수색,543,34,6,28,9,31,14,19,5,6,18,1,753
구조활동,실족·추락,164,80,54,50,11,13,17,23,11,9,10,8,535
구조활동,심정지·응급질환,52,54,32,57,21,15,15,29,59,23,25,21,447
구조활동,조난·고립,12,67,29,15,5,64,12,5,8,3,11,31,286
구조활동,수난사고,24,15,11,8,10,8,16,21,4,7,9,8,165
구조활동,헬기·이송,40,22,7,30,5,4,3,2,10,0,4,6,143
구조활동,벌쏘임·동물피해,4,5,5,2,9,2,0,3,3,5,2,0,42
자원보전,기타,314,481,423,262,116,153,126,73,54,103,114,70,2434
자원보전,멸종위기종,567,287,209,140,89,74,82,43,24,45,96,47,1824
자원보전,식생·개화,308,357,237,160,141,68,73,46,44,22,37,27,1584
자원보전,복원·방사,179,248,113,144,59,95,100,102,27,26,48,38,1296
자원보전,불법·무질서 단속,138,154,126,103,55,49,47,50,24,31,22,32,888
자원보전,조류,53,92,72,66,39,28,30,19,21,11,15,4,472
자원보전,포유류,114,89,92,38,24,5,23,7,3,16,3,3,442
자원보전,자연유산·지질,75,110,89,45,32,20,6,18,12,7,4,6,438
자원보전,외래종·병해,6,12,6,4,3,1,4,1,0,21,1,0,60
재난안전,산불,748,1000,225,194,111,66,58,52,28,31,43,29,2675
재난안전,예방·훈련,291,331,187,134,108,81,117,71,60,73,46,47,1619
재난안전,폭설·한파,125,429,247,170,93,67,10,5,33,20,51,17,1384
재난안전,호우·태풍,308,166,191,207,68,41,63,70,51,19,18,17,1272
재난안전,통제·입산금지,127,206,95,67,32,22,16,16,23,12,25,19,700
재난안전,산사태·낙석,50,57,155,54,15,10,15,24,9,11,25,8,454
재난안전,물놀이 위험지역,53,22,21,17,9,12,30,34,15,16,15,6,332
재난안전,폭염·가뭄,42,14,15,12,3,1,5,4,6,2,5,0,113
재난안전,기타,9,31,5,13,3,10,4,4,1,6,0,2,93
재난안전,지진,5,1,0,2,1,0,1,3,3,1,10,2,30
탐방시설,탐방로,685,1072,675,613,337,338,321,160,125,89,123,65,4829
탐방시설,해설·교육,652,928,564,363,317,235,185,191,88,77,75,53,3903
탐방시설,기타,387,482,420,332,216,192,143,128,31,42,29,28,2492
탐방시설,탐방객 동향,318,394,346,335,243,235,145,148,60,53,42,34,2438
탐방시설,편의·무장애,358,371,247,206,100,107,100,57,31,47,25,40,1777
탐방시설,축제·행사,368,368,231,260,89,48,35,48,39,40,32,33,1643
탐방시설,야영장·대피소,320,358,223,163,110,86,56,52,38,37,24,45,1583
탐방시설,예약제·개방,146,262,162,104,45,27,43,29,12,19,15,14,898
탐방시설,케이블카·삭도,169,237,94,79,36,11,10,13,4,8,9,10,697
행정,지정·구역,709,549,287,207,123,103,80,68,62,27,32,32,2331
행정,인사·조직,455,383,251,201,110,152,94,84,43,53,45,46,2042
행정,협약·협력,213,296,180,188,47,49,25,45,18,17,29,18,1166
행정,기타,294,163,77,53,22,32,20,44,67,17,4,14,851
행정,예산·재정,85,84,19,33,16,11,7,5,2,5,9,1,284
행정,법령·제도,81,19,24,33,15,10,25,12,4,2,3,9,251
행정,연구·용역,54,35,19,9,15,14,24,15,5,2,10,9,222
행정,의회·국정감사,39,28,24,18,7,5,1,1,3,2,1,3,139
