공원,영문명,국가,대륙,언어,섹터,보도일,제목,요약,매체,링크
플리트비체 국립공원,Plitvice Lakes National Park,크로아티아,유럽,한국어,탐방시설,2026-08-22,‘물의 요정’이 살고 있는 발칸반도의 원시림을 걷다[전승훈 기자의 아...,"그런데 플리트비체 국립공원 등 환상적인 자연이 살아 숨쉬고, 현대적인 문명에도 영향을 끼친 도시를 찾아 떠나는 도시 여행도 색다른 경험을 선사한다. ● 물의 나라 영화 ‘아바타’에 나오는 판도라 행성은 초록과...",donga.com,https://www.donga.com/news/article/all/20260821/134522761/1
그랜드 캐니언 국립공원,Grand Canyon National Park,미국,북아메리카,영어,기타,2026-08-22,Grand Canyon National Park loosens some water restrictions,,KJZZ,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWlNGcno3dzJocmlZbUNXYmt5S1ZzNHk3MktLREk4Nlk4bHV0Z3N2RUI0YWZGbWxkNzIxWVdMaks2S0JiSEpVVlVRXzVUVy1KcHNiLV9ubjNqU2NKbE9JdmxxVzFQbGpJbmlIcFc0YU80bl90OUE4ZUNxb0pKaFBsYWxOQVl2WFlsTklBREtiYmwwSm5ZS0RpT1hhVmN3dlVNUl9tMlg5X1U?oc=5
그랜드티턴 국립공원,Grand Teton National Park,미국,북아메리카,영어,기타,2026-08-22,Ex-park ranger’s ‘anti-censorship’ tour includes Grand Teton,,Wyoming Public Media,https://news.google.com/rss/articles/CBMitgFBVV95cUxPWTRiOFVEYi11a2xuMm83Z1hrWi02QTlWZ1l5aGZQLXNBYmtra0xMMzBuN056cV8zTGlrVnZMdmNGSUNIeWEtLU1kTG9nbmVTTW5mVkJkeDNmbVU0WGYxcmtLSXZ0VWR6RWMtaUJJb1BhcENCSTgzanFTSHFERkNJR2cyTW9NTTBxQ0F4aThJRVpJWldRdGEwQ011d0tHREJhMVYwRk5RaVNXMmJOMFctamNmaUpEZw?oc=5
그랜드티턴 국립공원,Grand Teton National Park,미국,북아메리카,영어,기타,2026-08-22,Observe the night sky with NASA scientists at Grand Teton National Park - BYU-Idaho,,BYU-Idaho,https://news.google.com/rss/articles/CBMirgFBVV95cUxNRjJydk0yaHpHTHNCUm1GdXV5RDI5WGVNSmQtLVpPelpCWWZyakhSOTJkLV9xT2pVQ2N0bXR6WW1CbUxNdzhnUmF6b3ZZZW4zVWtCbGtjbFBFbHNLbnJyMjdMbHRGU29uYVR1TXo1UGhYNkNCQXNJVDBzbDVBV0pyNVB3REhJN1c2N3N5My1hYzVSUHBOd21xSFNrOFZBMnlOM3R1bmlwck14UlplUWc?oc=5
그랜드티턴 국립공원,Grand Teton National Park,미국,북아메리카,영어,탐방시설,2026-08-22,Next phase of Grand Teton work to alter visitor access at various spots - Buckrail,,"Jackson Hole, news",https://news.google.com/rss/articles/CBMimAFBVV95cUxPblI1bko4YW1fTXhSZDNHckRRcFgwN3hVdjBOMlhTWTREZ3Bmd3VPcWtGQUVHRVNFV1VlbzI0OVdEc3M3MU9IQnNYTXFweHZSVjVBTTFmcVNkNUg3X2ROVjhiTDUwZERwQk5xNmtYNzhMZzlqaXpGTDNLTnM1MFZGQjVlTUJvekhQckdrZncwYkYwSGthbWJXMw?oc=5
그로스 몬 국립공원,Gros Morne National Park,캐나다,북아메리카,영어,기타,2026-08-22,Gros Morne National Park where the Earth’s mantle meets the sea - Ad-hoc-news.de,,Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPNnE2SkhqeVQxclZDbjZOSU5yYVNwa1FsWWJtM001Y0JwaGVXSFdnQ0V5N09VaHNVOWlGS1ViWTJ3VmRPWVkwU1BOR2ZyQ1gzZkxkYlc5LW5sblNMZVFRYWQ3V0dyZUtHcTdzNUZSemJqdTRLbG5tZVlIZVlPLWFfMkFoM2JqbFBlQzZ3TUdJbjBWWUd4a0I0M0dtUUJoZGpNLWdWN0pSWUxYQ3B6UHN1emtsQWlTbC16eXBF?oc=5
암보셀리 국립공원,Amboseli National Park,케냐,아프리카,영어,기타,2026-08-22,Amboseli National Park and the elephants under Kilimanjaro - Ad-hoc-news.de,,Ad-hoc-news.de,https://news.google.com/rss/articles/CBMitAFBVV95cUxOZUNQejlmZncwaE56R1FLa0huUU9tUHZWOTZnQTVxNDY0b1JaY1RJeGg3Y2FCbWV4MWpLcThCQlNjdlNhWW8ySnZOYjRqdVdYMHZ5bGw5NUdJa054Z19VQ0hSUWRVNFUxNUUzVVMwUXpHU2p3QkNIaUl3eG9PVUx1Wnl6dXdsSURTRHJDRnpicHh4SUxRRGZwYnpIUkhNdDlRM202dERwYmFUc1ZjcmpTaU13STM?oc=5
암보셀리 국립공원,Amboseli National Park,케냐,아프리카,영어,구조활동,2026-08-22,Elephant deaths in Amboseli: two farmers arrested,,MalindiKenya.net,https://news.google.com/rss/articles/CBMitAFBVV95cUxNTXdNdUlfSjhObllCOHlxeDQ1Sk1fZ2FMdUhhcldLeDFhY3VhM0JEbU5hcXBBaFdfU2ItZDV0dUYyQUJwaXp4bTliZWFMQ1JId1ptVEt6N1lvOWxLS01ENVcxUFItTjU3Wk5hY0U0RlRpd1l0TGNqUzExa2JNTXlCd3hDcEFhdEZGS0xXVXNqRlNjbWdDaEFLV0liMUl4MGxwa0Q4ME5JcEZ0MHdHLTdYcjNYMlo?oc=5
그레이트스모키 산맥 국립공원,Great Smoky Mountains National Park,미국,북아메리카,영어,구조활동,2026-08-22,Construction starts soon on popular waterfall trail in Great Smoky Mountains National Park,,WLOS,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNVTJhdEFNODU1Wmp5X1haZF9CR3dkSjF4ZTZxOTI5ZDB5ZUtIOHVGc3Bta3J0bnpROVdNM2ZFZHRhaG1vdHlGVmlrOXI1b3F2LVhPT2VaWC12b0dEUjNQR3A4M2drTGMtU2xWQXJvd3ppdmQ0YTN2R1oyN1VGdWNkYmoybWNPbXY3dnQ1dWt0a0J3c0RhR0F1eERORXZpdF91MG1Ta3BoX3pzS2NyUzY3SFVPTTktcUc3c3RvZXprNVdWdHplYUxZcDFfTjZsSkxoMjU1TUUyUGh3dk4wYTB4NTJXUGNxb0xxR1E?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,French visitor dies in Death Valley National Park after becoming stranded on remote road,,KLAS 8 News Now,https://news.google.com/rss/articles/CBMiygFBVV95cUxPc3ZZUXdod1JwSUk5TnpMRFVnUUN3U2h0YWExUUdYbFlSTVVyLVpEQ3ZQLUVWSi1fVEo5bWJLb2UtNnRBX1kzaWhBS3ZtQWNaYXk4QUs2akd1QURZWW5ub0UxZTl0LVhaSXhrTXU5WGZySk1ETzZtMTlEMUVJQUloZ2pJd2xiUkF1ejZYOHJCbkZBUlpVaVp2QVNiVUxhOTFOZ3ZMcjVjUWl6Nms0TGtPb25QYkJiOFBFMnFjeUw5UXFhX1R1THk0YV9R0gHPAUFVX3lxTFBvaWFHUUtsME5pcXNVdVRCLW9mS01LWVlGTk1DNEkyaXBJRGI2RDBQTmZnZEpwaGN2OVRDbFhYX1hDVGlSWWVHb0FMaVZ3b2JReEJPRENiSDF2VmJEcl85RlZoUXRyc2tBb1JFRndJSE5nSi04M3F0TlZNVllKMDRwcE03MjJlS09iN3NBQmZSWEhJOXFFR1h0dlZvXzZZOVAtVXJTOThuREwtbnVvaGdVdXkzcC1yNDF2bXV4YzRjaHpTMVNPZnhUb3lKUE5GOA?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,Visitor from France dies after being stranded in Death Valley National Park - Las Vegas Review-Journal,,Las Vegas Review-Journal,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTXNBZkV1Q1NSeHhEQjFuc254RXlZejJnWnlBX1QyQzdRVmUwVnRqdENEOUlYX0pNa1k0Nl96R2hJdjNTYWVWTHgwODFZZ0xsdXE5TXpncENXcVlZZ3JuSVB1bnk4NG0xZG9USDB2bjZaN0l4XzVBdkJDRFdBVU9tbGZZQmNUSnVwLTk0QnZUVWpVd2UzYl9XNExOd3JkZ0sycExDU1VJVWlHN3R4NU5DWkNIby1Bd3EzNFBjc1hYUHN0bDMzdkNxTUsyRmhZSUxxaFE?oc=5
