공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,129,2025년 02월,217.03,39.67,10.69
설악산,129,2020년 10월,93.48,27.36,6.84
주왕산,129,2021년 10월,160.87,22.26,11.04
지리산,129,2025년 03월,38.27,17.17,2.72
월악산,129,2017년 10월,31.35,11.72,2.8
내장산,129,2021년 10월,65.64,11.62,2.54
한려해상,129,2022년 08월,21.87,11.15,1.91
북한산,129,2017년 10월,26.78,10.31,2.22
소백산,129,2021년 01월,22.96,9.74,1.62
덕유산,129,2021년 01월,29.91,9.55,1.85
오대산,129,2020년 10월,29.07,8.4,2.04
변산반도,129,2016년 05월,15.46,7.79,2.53
가야산,129,2020년 08월,25.38,7.56,2.25
태백산,129,2017년 01월,20.38,6.51,0.94
무등산,129,2021년 01월,24.4,5.55,1.26
계룡산,129,2018년 10월,15.66,5.25,1.12
치악산,129,2020년 10월,12.99,5.08,1.46
속리산,129,2017년 05월,17.24,4.52,0.99
다도해해상,129,2020년 09월,10.21,4.24,0.41
월출산,129,2016년 07월,8.52,3.69,0.93
태안해안,129,2022년 08월,6.25,3.46,0.78
경주,129,2022년 10월,8.29,3.35,0.73
팔공산,129,2023년 05월,24.8,2.06,1.19
금정산,118,2025년 11월,42.68,1.62,1.97
