공원,연월,검색관심도_원값,검색관심도_환산
가야산,2016-01,2.5,4.02
가야산,2016-02,2.15,3.46
가야산,2016-03,2.95,4.75
가야산,2016-04,3.45,5.56
가야산,2016-05,3.68,5.92
가야산,2016-06,2.86,4.6
가야산,2016-07,4.89,7.87
가야산,2016-08,4.64,7.47
가야산,2016-09,3.66,5.89
가야산,2016-10,5.6,9.01
가야산,2016-11,3.57,5.75
가야산,2016-12,2.25,3.62
가야산,2017-01,3.06,4.92
가야산,2017-02,3.58,5.76
가야산,2017-03,3.83,6.16
가야산,2017-04,4.77,7.67
가야산,2017-05,4.54,7.3
가야산,2017-06,4.38,7.04
가야산,2017-07,5.79,9.31
가야산,2017-08,5.83,9.37
가야산,2017-09,5.44,8.75
가야산,2017-10,8.92,14.35
가야산,2017-11,4.31,6.94
가야산,2017-12,8.81,14.17
가야산,2018-01,3.58,5.76
가야산,2018-02,2.01,3.23
가야산,2018-03,2.92,4.7
가야산,2018-04,3.04,4.89
가야산,2018-05,4.13,6.64
가야산,2018-06,3.95,6.36
가야산,2018-07,5.63,9.06
가야산,2018-08,5.27,8.48
가야산,2018-09,5.31,8.54
가야산,2018-10,9.24,14.87
가야산,2018-11,6.41,10.32
가야산,2018-12,4.35,6.99
가야산,2019-01,4.06,6.53
가야산,2019-02,2.59,4.17
가야산,2019-03,2.85,4.59
가야산,2019-04,4.07,6.54
가야산,2019-05,5.43,8.74
가야산,2019-06,5.86,9.43
가야산,2019-07,8.45,13.6
가야산,2019-08,6.56,10.56
가야산,2019-09,5.59,8.99
가야산,2019-10,10.57,17.0
가야산,2019-11,5.55,8.93
가야산,2019-12,3.23,5.2
가야산,2020-01,3.81,6.13
가야산,2020-02,2.28,3.67
가야산,2020-03,3.08,4.95
가야산,2020-04,3.19,5.14
가야산,2020-05,5.5,8.85
가야산,2020-06,5.51,8.87
가야산,2020-07,6.08,9.78
가야산,2020-08,15.77,25.38
가야산,2020-09,5.93,9.53
가야산,2020-10,8.43,13.56
가야산,2020-11,5.06,8.13
가야산,2020-12,4.65,7.48
가야산,2021-01,5.58,8.98
가야산,2021-02,4.68,7.54
가야산,2021-03,5.18,8.34
가야산,2021-04,6.61,10.64
가야산,2021-05,6.12,9.85
가야산,2021-06,6.08,9.79
가야산,2021-07,7.06,11.36
가야산,2021-08,8.2,13.18
