공원,소재지,구조출동,재난안전,자원보전,탐방시설,행정,기타,합계
(전체·공통),,29,63,124,108,128,259,711
설악산,강원,75,44,30,85,6,68,308
지리산,전남·전북·경남,26,37,72,58,12,96,301
주왕산,경북,118,26,6,58,4,52,264
한라산,제주,21,17,17,94,7,100,256
무등산,광주·전남,28,26,76,37,16,73,256
북한산,서울·경기,54,31,33,43,14,75,250
금정산,부산·경남,2,4,30,12,80,86,214
소백산,충북·경북,1,22,75,47,4,49,198
팔공산,대구·경북,3,17,64,21,29,60,194
속리산,충북·경북,12,24,41,32,10,61,180
내장산,전북·전남,1,9,30,48,11,80,179
계룡산,대전·충남,11,16,39,44,7,52,169
경주,경북 경주,2,20,23,38,10,61,154
치악산,강원 원주,4,27,17,45,11,39,143
오대산,강원,3,16,19,46,8,48,140
덕유산,전북·경남,6,31,24,19,1,55,136
태백산,강원·경북,2,9,19,57,13,34,134
월악산,충북·경북,5,15,16,44,8,46,134
월출산,전남,3,16,34,34,9,37,133
가야산,경북·경남,0,1,35,33,9,42,120
한려해상,경남·전남,4,5,31,20,8,33,101
변산반도,전북 부안,5,10,15,24,5,39,98
태안해안,충남 태안,0,3,24,11,9,27,74
다도해해상,전남,0,4,13,12,10,33,72
