공원,소재지,섹터,제목,언론사,보도일,링크,수집질의
북한산,서울·경기,기타,"북한산국립공원, 「북한산 글로벌 레인저스」 본격 운영",동북일보,2026-08-17,https://news.google.com/rss/articles/CBMib0FVX3lxTE1sQlFxZld3aUd6dzY4VDNIMkVNMEdRT3d4cC0teGw4LW5ucHJTSDVsRmczeXVhZUFMM19WWUktVWljNk5JODVsNFF0bmRJU2dHeXBlaTRwbmV5a1JSYWpaVUlKY19haGlXT3hkZUMwQQ?oc=5,북한산 국립공원
지리산,전남·전북·경남,기타,지리산 천왕봉서 발견된 392자 바위글씨...내용은,edaily.co.kr,2026-08-16,https://news.google.com/rss/articles/CBMigAFBVV95cUxQemdZb2ozalc5V2k1ZnhYbEpiVHNnR3VNYS1xUkRYVWlSX3VjMUM1ekVWQU5lTVV0NzNWdDJlYnJLUHJaaTJLZXYtTUtUZjVRWDNxNzFiTjllY2VHWFJtOERqc29sVU00eUVoQTlDRjJYWnotemNXdkh5Z3QyZlpMRg?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,"""저게 대체 뭐지?""…지리산 정상서 발견된 의문의 '바위글씨' 392자 알고보니",네이트,2026-08-16,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9yQ1EyNm9sSWRiRE5MR1NHY21nR2xlRXB6WTBYZFZjRGp3akFyT2VRZlkzV3RpTzhLSlpndmw2SlliSHFoQjdCUU02azB6ZHNMOWVEOVBB?oc=5,지리산 국립공원
북한산,서울·경기,자원보전,"북한산 정릉천 복개 구간, 자연 하천으로 복원",hani.co.kr,2026-08-16,https://news.google.com/rss/articles/CBMibEFVX3lxTFB6N2gwdjFpWUh1WFJoYUR4YUhxYUh2SWNOUTN6SWtlcHAyN3BGTTFCd0hOaW1rQl9zZGpRM21tcjVLNWFXSlFyMDMydVlnU1Y4SWNKTnJWSU9nczVRRlptOG5kUHBtVXlJT3dUNA?oc=5,북한산 국립공원
북한산,서울·경기,자원보전,복개천 걷어내고 낡은 상가 철거…북한산 정릉입구 생태화,소비자를 위한 신문,2026-08-16,https://news.google.com/rss/articles/CBMiSEFVX3lxTE9BM3dnbDhWWEotVEpFZVZfdXVSWFdNYmwtbl9hNGdkRUgtTjVrS0lPcUdiT2xiR0JPRjh4T2FFZURhaHpMVEtkZg?oc=5,북한산 국립공원
북한산,서울·경기,자원보전,"북한산 정릉천 복개 구간, 자연 하천 복원",hani.co.kr,2026-08-16,https://news.google.com/rss/articles/CBMibEFVX3lxTFB6N2gwdjFpWUh1WFJoYUR4YUhxYUh2SWNOUTN6SWtlcHAyN3BGTTFCd0hOaW1rQl9zZGpRM21tcjVLNWFXSlFyMDMydVlnU1Y4SWNKTnJWSU9nczVRRlptOG5kUHBtVXlJT3dUNA?oc=5,국립공원공단
지리산,전남·전북·경남,기타,지리산·북한산 등 국립공원 내 독립운동 역사문화자원 재조명,대한민국 정책브리핑,2026-08-15,https://news.google.com/rss/articles/CBMiigFBVV95cUxOdlhtSExiUGQ5YnV5a2hvODNxN1RuQzNEcTVpN0otSGZhTDlreUZUbGxxMUZxc0VhdFpNQkRIUVo4WWtldXlOY2JnRzVzRnd6RnFNY2NlUmVqZE9CWEhiYVBDN3AtVXo3RVdfaXo2R3dBbGxSNTFYVl93MlNXczhqQTZHdGdKSzJmVXc?oc=5,지리산 국립공원
지리산,전남·전북·경남,재난안전,"‘딱 두 달만 열립니다’ 해발 800m 지리산 계곡, 9월부턴 출입 통제",뉴스와,2026-08-15,https://news.google.com/rss/articles/CBMigAFBVV95cUxPcXpjR0pISjBsVmF2N1dtcUJoOGVJRl80Szg2OU5aRHQwQUE1dkZTTmhKN1h0QzhMN0RWalRQMGpGLUdUTDBNaFlQSVpRX3RsbjRzQXVpNnA4azRmd2NDSERjN0F3TzBMZHpaN3JVdGRrVl80WDNWd2gwWW5fQ0dUOA?oc=5,지리산 국립공원
월출산,전남,재난안전,월출산국립공원 구름다리 구간 출입금지,쿠키뉴스,2026-08-15,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9BaTE4bktHV0xONGtwVnFodFF1ZmFHdGw4c1E4amlMbXZtMVpLSFIzMktGMDZ4N1F1V3BFdE9yTEJudXR2dG9nWjF1c3dQaktCSVhnRmd5NGJFUFlaUVJVR1pkQQ?oc=5,월출산 국립공원
오대산,강원,탐방시설,"국립공원공단, 야영장 28곳 순차 개장…강원 오대산 5월·치악산 금대 6월",강원일보,2026-08-15,https://news.google.com/rss/articles/CBMieEFVX3lxTE1WSGlzMEJaMkUzU19xYVIxRjBnY1BUTHNBM0V6YzU0dy1VdEJabGZmMlowWllxN1RkWTV3NXdNd2NwTDlmczExT0duWEI3bzZ1azk0b0RnZmZacmsxWGNocE55bFJ2QlVUcDVTN0NjbTVLLVBpNnU4Rg?oc=5,국립공원공단
