섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,241,264,216,232,169,259,183,196,115,115,147,127,2548
구조활동,기타,78,203,92,116,99,124,81,62,67,35,36,72,1207
구조활동,실종·수색,625,34,6,28,9,31,14,19,5,6,18,1,835
구조활동,실족·추락,169,80,52,50,9,13,17,22,11,9,10,8,535
구조활동,심정지·응급질환,62,54,30,57,21,15,15,29,59,23,25,21,455
구조활동,조난·고립,24,68,25,15,5,64,12,5,8,3,11,31,295
구조활동,수난사고,33,13,12,8,10,8,16,21,4,7,9,8,173
구조활동,헬기·이송,48,22,6,30,5,4,3,1,10,0,4,6,149
구조활동,벌쏘임·동물피해,4,5,5,2,9,2,0,3,3,5,2,0,42
자원보전,기타,336,467,409,255,115,150,125,64,53,103,114,70,2405
자원보전,멸종위기종,598,287,207,139,82,74,82,42,24,45,95,44,1840
자원보전,식생·개화,326,359,234,153,141,68,67,46,44,22,37,27,1588
자원보전,복원·방사,180,250,111,126,59,94,98,102,27,26,47,37,1274
자원보전,불법·무질서 단속,143,154,125,104,52,49,47,50,24,31,21,32,889
자원보전,조류,57,93,68,66,39,28,30,19,21,11,15,4,473
자원보전,포유류,107,91,83,39,24,5,23,7,3,16,3,3,429
자원보전,자연유산·지질,74,110,79,44,32,20,6,14,12,7,4,6,422
자원보전,외래종·병해,9,11,6,4,3,1,4,1,0,21,1,0,62
재난안전,산불,777,990,209,193,110,65,56,52,27,31,43,29,2672
재난안전,예방·훈련,303,331,182,132,107,81,117,69,60,73,46,47,1621
재난안전,폭설·한파,114,427,247,161,93,67,10,5,33,20,51,17,1362
재난안전,호우·태풍,352,163,187,207,68,41,63,70,51,19,18,17,1309
재난안전,통제·입산금지,152,203,91,66,32,21,16,16,23,12,25,19,716
재난안전,산사태·낙석,54,58,157,54,14,10,15,24,9,11,25,8,460
재난안전,물놀이 위험지역,53,22,21,17,9,12,30,34,15,16,15,6,332
재난안전,폭염·가뭄,52,14,15,12,3,1,5,4,6,2,5,0,123
재난안전,기타,10,30,2,13,3,10,4,4,1,6,0,2,90
재난안전,지진,9,1,0,2,1,0,1,3,3,1,10,2,34
탐방시설,탐방로,718,1056,661,612,325,335,319,156,124,90,122,65,4808
탐방시설,해설·교육,711,918,555,360,301,228,184,186,88,77,75,53,3910
탐방시설,기타,430,481,417,334,213,189,142,126,31,42,29,28,2524
탐방시설,탐방객 동향,362,397,338,334,241,232,145,140,60,53,41,34,2462
탐방시설,편의·무장애,406,363,239,204,101,107,100,57,31,47,24,39,1806
탐방시설,축제·행사,395,373,241,255,88,46,34,48,38,39,31,33,1673
탐방시설,야영장·대피소,348,345,220,162,110,87,56,52,38,37,24,45,1595
탐방시설,예약제·개방,168,256,165,100,45,27,43,28,12,19,15,14,911
탐방시설,케이블카·삭도,203,233,92,79,36,11,10,13,4,8,9,10,725
행정,지정·구역,699,534,274,204,118,96,77,63,62,27,32,32,2270
행정,인사·조직,453,372,247,201,110,151,94,82,43,53,45,46,2022
행정,협약·협력,256,284,171,188,46,48,24,45,18,17,29,18,1185
행정,기타,283,160,76,52,22,32,20,43,67,17,4,10,830
행정,예산·재정,107,84,19,33,16,11,7,4,2,5,9,1,305
행정,법령·제도,94,19,22,33,15,10,25,12,4,2,3,8,261
행정,연구·용역,72,36,19,9,15,14,23,15,5,2,10,9,240
행정,의회·국정감사,49,25,24,18,7,5,1,1,3,2,1,3,143
