연도,구조출동,재난안전,자원보전,탐방시설,행정,기타,합계
2026,1458,1668,2044,3223,1673,1808,11874
2025,1449,2032,2456,3999,1100,1841,12877
2024,893,1049,1817,2579,605,609,7552
2023,981,838,1284,2054,438,226,5821
2022,574,430,759,1279,182,149,3373
2021,796,284,659,1090,173,120,3122
2020,572,241,616,881,167,103,2580
2019,592,268,421,663,180,47,2171
2018,426,202,242,358,133,103,1464
2017,334,173,347,278,79,74,1285
2016,415,205,390,267,78,77,1432
2015,456,116,236,225,95,68,1196
2014,301,105,176,252,52,103,989
2013,156,55,127,89,33,39,499
2012,102,35,101,53,19,16,326
2011,118,36,68,45,8,9,284
2010,100,31,39,52,34,23,279
2009,57,18,47,41,14,17,194
2008,48,32,26,24,4,24,158
2007,64,17,21,14,8,15,139
2006,24,6,8,6,4,10,58
2005,28,4,8,7,4,14,65
2004,19,6,7,9,2,8,51
2003,5,1,1,1,2,4,14
2002,13,2,1,1,0,3,20
2001,8,2,0,3,1,4,18
2000,5,0,0,0,0,1,6
1999,1,1,0,2,2,0,6
1998,0,0,0,0,0,1,1
1997,3,0,1,0,0,0,4
1996,2,0,1,0,0,1,4
1995,0,1,0,1,0,0,2
1994,2,0,0,0,0,0,2
1993,0,0,0,0,0,1,1
1992,1,0,0,0,0,1,2
1991,1,0,1,0,1,0,3
1990,1,0,0,0,0,0,1
