연도,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
2026,1284,1876,1830,3741,2013,2233,12977
2025,743,2239,1822,4422,1514,1826,12566
2024,444,1111,1322,2928,852,672,7329
2023,538,857,930,2440,738,237,5740
2022,336,440,547,1460,349,154,3286
2021,520,308,489,1262,367,133,3079
2020,341,317,482,1033,271,112,2556
2019,358,281,345,806,265,60,2115
2018,282,228,208,426,204,103,1451
2017,203,191,282,412,125,72,1285
2016,262,238,337,370,133,83,1423
2015,274,147,223,321,127,86,1178
2014,168,168,165,292,77,101,971
2013,97,70,124,116,46,41,494
2012,62,45,96,75,30,18,326
2011,86,50,50,68,19,11,284
2010,59,43,34,76,41,26,279
2009,42,19,27,62,24,18,192
2008,32,35,18,34,13,26,158
2007,31,28,22,24,19,15,139
2006,15,5,8,11,9,10,58
2005,24,5,6,10,6,14,65
2004,12,8,7,10,6,8,51
2003,2,2,1,2,3,4,14
2002,7,3,3,3,1,3,20
2001,6,2,0,4,2,4,18
2000,4,0,0,1,0,1,6
1999,0,1,0,3,2,0,6
1998,0,0,0,0,0,1,1
1997,2,0,1,1,0,0,4
1996,1,0,2,0,0,1,4
1995,0,1,0,1,0,0,2
1994,2,0,0,0,0,0,2
1993,0,0,0,0,0,1,1
1992,1,0,0,0,0,1,2
1991,1,0,1,0,0,1,3
1990,0,1,0,0,0,0,1
