공원,섹터,대표제목,보도건수,언론사수,언론사목록,최초보도일,최종보도일,대표링크
한려해상,재난안전,"“주민 안전이 최우선”…한려해상국립공원, 폭염 대응 강화",1555,326,AI타임스 · BBS불교방송 · DFT 대한금융신문 · DWBNEWS · G1방송 · HKBC환경방송 · JTBC · K-Life TV · KBC광주방송 · KBS 뉴스,2002-11-29,2026-08-13,https://news.google.com/rss/articles/CBMib0FVX3lxTE5waThPLW4zRkhOX29XX1R5bUw4Zy1TczZQOTVzam1oVmJkX1dYNUtuWFp0NGpLdmh6X1ZIc3ZRQVc0Wk1Ib0ZDdEp2NVVyN0h0bW85ZFBTOUl3U2tYUklYWUtaUWpRVzRERnVTYS1Odw?oc=5
월출산,재난안전,월출산국립공원 구름다리 구간 출입금지,454,136,BBS불교방송 · HKBC환경방송 · KBC광주방송 · KBS 뉴스 · KPI뉴스 · K스피릿 · LG헬로비전 · OhmyNews · YTN 사이언스 · busan.fnnews.com,2002-12-02,2026-08-15,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9BaTE4bktHV0xONGtwVnFodFF1ZmFHdGw4c1E4amlMbXZtMVpLSFIzMktGMDZ4N1F1V3BFdE9yTEJudXR2dG9nWjF1c3dQaktCSVhnRmd5NGJFUFlaUVJVR1pkQQ?oc=5
주왕산,구조활동,“미처 피지 못한 꽃”…주왕산 실종 초등생 비보에 애도 물결,98,61,JTBC · KBC광주방송 · KBS 뉴스 · MBN 홈페이지 · OhmyNews · YTN · bplusnews.com · hidomin.com · news.sbs.co.kr · newstopia.co.kr,2026-05-11,2026-08-11,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5ZX0VIQWdjb3ZFT0d1TTVrT3hxU2pJeWpSNGJSby04bkl6cWNqaC02VG5DM05BUERnb0M1Y05uOVVDT1o5Z1k0aHpCZW1WbnpzRzQ0MEtiN01veXZHcGhJQ3JzUQ?oc=5
(전체·공통),기타,‘제6회 국립공원의 날 기념식’ 부산 벡스코서 개최,91,52,BBS불교방송 · DWBNEWS · KBS 뉴스 · LG헬로비전 · OhmyNews · YTN · btnnews.tv · civicnews.com · ecojournal.co.kr · knn.co.kr,2011-06-08,2026-08-15,https://news.google.com/rss/articles/CBMid0FVX3lxTE1QaVllYWRNWHRtYUFyZm9VWVNqeXJZNXd5TUtzMjFLanU0Skg3YmdjUUIxUmZTb2pYSE1TbzF2UjdTeUJLV3NPMHEyWk9selFYZkpPTEFkVTluanJuQ2xPXzY2WjhaNDZaYnBueU9CdkNzSUVpRThj?oc=5
내장산,자원보전,멸종위기 2급 '진노랑상사화' 전북 내장산서 개화,46,31,BBS불교방송 · Vietnam.vn · ecojournal.co.kr · ihopenews.com · insight.co.kr · knn.co.kr · kyongbuk.co.kr · v.daum.net · 경남일보 · 경향신문,2024-02-14,2026-07-30,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBrdmM5ZVExZW4zaDAyWTA1TkJQV1I2eHJiX2swQXhpMzJMdGRTR2duMVNwQVdISUYtOUxNT3ExWHJFTHVLU05ZY0FUZk9LRWdHaHc?oc=5
주왕산,구조활동,"주왕산 실종 초등생, 국과수 부검 결과 “추락사 추정” 예비 소견",33,25,YTN · dt.co.kr · hidomin.com · imnews.imbc.com · news.sbs.co.kr · twig24.com · v.daum.net · 경향신문 · 네이트 · 대경일보,2026-05-11,2026-05-14,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5JQlY2ZGIwdllYUDctV3p2TzQxOWhFVENPRGVjNUpwM2RrRmtET2F6UXVlQUYwSWRNcGU3T21yeUt3QUVoZ1A1LUFzLTNBMEt3TjhGelJOelJSQdIBX0FVX3lxTE4xNGRBZDNPcElMeEJVX1Nsd0JHLXc1ampRblVrRnMtZnZid3BCSXVGMDlTTWU1UUlsNk1ablJXNXFCeHB2WGRpLXRyNkNlZjVnUFFIQVdNX2NNRUJ4b0xJ?oc=5
금정산,행정,금정산국립공원사무소 이현태 신임 소장 부임,29,23,ecojournal.co.kr · geojeoneul.com · hanryeotoday.com · kyongbuk.co.kr · 강원도민일보 · 경남도민신문 · 국제신문 · 남도방송 · 뉴스1 · 뉴스홈(newshome),2014-02-07,2026-07-01,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1fSE5oT0NsTXJBdVdtT3pBTEE4TjN2cVhNN09RQks2NWxNNElHalhzMXVmZndka3dfWjJRd0s1b0NPTTBGN25mRUpUUzBPVklBdldMT0NWaVRRcDDSAWBBVV95cUxNejNtdVRXTE5BNGNlZS1adVdCNERSbnFOUjE0WEYxYmJwLWFObk5FTUpack53aTZoOUs0anlsdVBQUHJhVFBxazhVdUxsY2xLcl9tQ3UtZ182TC04WWNXRGc?oc=5
태안해안,자원보전,"태안해안국립공원사무소, 멸종위기 야생생물 닻무늬길앞잡이 인공증식 방사 후 첫 발견",25,20,2news.co.kr · KBS 뉴스 · ecojournal.co.kr · news.sbs.co.kr · 광주데일리뉴스 · 국제일보 · 네이트 · 뉴스1 · 뉴시스 · 바끄로뉴스,2016-05-23,2026-08-11,https://news.google.com/rss/articles/CBMiZEFVX3lxTE12THRscDhGLVZpTjBaVDBtSS1USUFCa3NkQV9nd0hCVkRMMzJmNlVad0ROc0JjNWxRTmtKQTB4ZkFTLXM4Q0k0WTFXRmRiVjQ3NWZZbE9OVUFkRzR6dHYxRHFNVEE?oc=5
지리산,기타,지리산·북한산 등 국립공원 내 독립운동 역사문화자원 재조명,18,16,ecojournal.co.kr · edaily.co.kr · 네이트 · 뉴스1 · 대한민국 정책브리핑 · 데일리안 · 디스커버리뉴스(DISCOVERYNEWS) · 브릿지경제 · 아시아투데이 · 에코타임스,2021-07-12,2026-08-15,https://news.google.com/rss/articles/CBMiigFBVV95cUxOdlhtSExiUGQ5YnV5a2hvODNxN1RuQzNEcTVpN0otSGZhTDlreUZUbGxxMUZxc0VhdFpNQkRIUVo4WWtldXlOY2JnRzVzRnd6RnFNY2NlUmVqZE9CWEhiYVBDN3AtVXo3RVdfaXo2R3dBbGxSNTFYVl93MlNXczhqQTZHdGdKSzJmVXc?oc=5
한려해상,자원보전,"한려해상국립공원동부사무소, 시민과 함께 둔한진총산호 신규 서식지 발견",15,15,KBS 뉴스 · ecojournal.co.kr · geojetimes.co.kr · 거제뉴스광장 · 국제신문 · 금강일보 · 뉴스1 · 뉴스경남 · 뉴시스 · 드림투데이,2016-03-01,2026-08-13,https://news.google.com/rss/articles/CBMibkFVX3lxTE44c21CRndvZGV5UkozVjExSEx3TmRRMGhzb2ZEcEEtcDd2cmNhaTlhdHRadTJYU2drR21yaV81UDFnRG00SFc0Yzd5bFFLMTBpdEZMQld4S3MtZ3dXVmMxM2hRbVBGd0gzOXBhYjhB?oc=5
