공원,출동·대응,실종·수색,기타,실족·추락,심정지·응급질환,조난·고립,헬기·이송,수난사고,벌쏘임·동물피해,합계
주왕산,41,444,5,111,8,10,3,10,0,632
한라산,157,3,45,31,75,38,20,8,14,391
지리산,148,26,80,35,16,63,11,6,0,385
설악산,86,7,38,60,38,17,10,3,0,259
북한산,140,12,46,16,10,2,0,1,1,228
속리산,89,7,18,26,14,0,2,9,0,165
덕유산,78,1,10,6,19,29,11,8,0,162
무등산,87,8,27,6,10,1,0,0,1,140
계룡산,86,9,8,6,7,4,3,1,0,124
내장산,85,0,18,3,3,1,2,4,0,116
소백산,50,8,9,5,6,7,8,3,0,96
변산반도,50,0,12,3,0,1,0,10,0,76
태백산,39,3,16,3,9,1,0,1,0,72
경주,47,0,12,0,0,2,0,1,0,62
월출산,38,0,8,8,4,0,2,2,0,62
치악산,25,0,13,3,11,5,1,1,0,59
오대산,20,2,12,2,11,1,1,5,1,55
월악산,30,6,1,7,6,1,1,0,0,52
팔공산,14,2,26,4,1,1,1,1,0,50
태안해안,29,0,8,0,0,3,0,6,0,46
가야산,17,0,5,2,6,2,0,0,0,32
한려해상,21,0,9,1,0,0,0,0,0,31
금정산,3,0,7,2,0,0,4,0,3,19
다도해해상,9,0,1,1,3,0,0,0,0,14
