공원,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계,최다분야
한라산,250,188,267,961,76,103,1845,탐방시설
지리산,279,279,369,551,134,107,1719,탐방시설
경주,36,340,163,486,153,102,1280,탐방시설
소백산,64,166,350,421,120,64,1185,탐방시설
주왕산,599,128,90,278,41,29,1165,구조활동
속리산,101,155,192,489,107,55,1099,탐방시설
내장산,68,105,151,449,118,92,983,탐방시설
설악산,209,163,104,407,53,45,981,탐방시설
덕유산,113,160,122,385,92,83,955,탐방시설
팔공산,24,67,240,325,202,34,892,탐방시설
금정산,8,24,148,198,466,28,872,행정
북한산,187,105,142,253,67,83,837,탐방시설
가야산,20,77,205,350,166,18,836,탐방시설
계룡산,101,108,143,312,75,50,789,탐방시설
무등산,103,82,186,258,63,71,763,탐방시설
치악산,48,68,105,379,74,81,755,탐방시설
월악산,26,99,146,322,80,27,700,탐방시설
오대산,26,81,176,256,74,44,657,탐방시설
월출산,53,56,100,307,41,65,622,탐방시설
태백산,51,77,82,288,80,24,602,탐방시설
태안해안,17,70,112,213,63,19,494,탐방시설
변산반도,43,53,63,130,66,22,377,탐방시설
한려해상,13,37,66,163,54,10,343,탐방시설
다도해해상,1,30,34,86,24,5,180,탐방시설
