공원,2026-08,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,2023-12,2023-11,2023-10,2023-09,평균,최고
한라산,12.1,22.2,21.8,21.4,20.9,25.1,109.1,211.8,84.5,40.1,22.7,23.2,20.5,24.2,25.1,28.5,34.4,85.5,217.0,178.0,114.0,52.0,31.7,26.3,19.6,25.4,24.4,31.7,26.8,43.6,67.3,126.3,137.6,57.7,26.3,20.1,57.2,217.0
주왕산,12.3,18.0,15.9,63.1,20.3,17.9,18.8,14.4,15.6,78.0,71.9,29.9,16.6,17.4,23.8,28.6,11.9,53.3,13.6,13.2,9.3,40.0,76.8,31.4,21.9,14.1,18.4,25.0,17.0,14.8,16.8,11.7,9.9,34.5,87.0,31.4,28.2,87.0
설악산,12.2,17.9,19.6,23.9,18.0,16.6,16.4,16.0,15.4,19.7,37.3,22.7,23.2,20.3,19.4,26.4,18.6,18.9,22.5,26.9,18.8,22.9,45.7,28.8,22.0,23.2,21.8,38.2,22.1,23.2,57.9,37.5,34.9,19.7,39.9,35.4,25.1,57.9
내장산,2.6,4.1,3.2,4.3,4.6,5.1,4.8,4.4,4.7,61.6,35.6,17.6,20.1,8.6,6.4,7.2,6.2,3.2,3.8,5.0,4.4,27.8,28.3,12.4,8.6,6.5,6.2,6.9,5.8,4.3,3.4,3.3,4.1,33.1,52.5,12.1,12.0,61.6
지리산,6.2,10.0,8.9,9.7,9.2,7.1,7.3,7.2,6.7,7.7,9.9,8.7,11.8,15.2,13.2,14.3,15.4,38.3,11.9,14.6,9.9,11.8,10.3,10.0,10.1,13.7,11.9,15.6,13.8,10.3,12.2,10.7,14.0,13.8,16.3,14.6,12.0,38.3
월악산,8.8,20.2,9.5,6.9,6.8,5.8,4.2,4.0,4.1,10.2,8.9,8.2,15.1,15.2,10.4,10.1,12.8,6.6,5.0,4.9,3.9,8.7,17.1,12.8,18.9,15.6,12.7,11.0,10.8,9.4,6.6,4.6,5.1,8.9,18.2,12.5,9.8,20.2
덕유산,5.2,7.0,5.4,4.8,2.6,2.6,5.3,10.2,8.7,5.1,4.8,3.8,5.6,5.6,4.9,5.9,4.6,4.2,13.5,21.4,15.2,6.8,4.7,4.2,5.7,5.9,7.3,7.7,5.9,5.6,11.2,21.6,28.1,11.6,7.2,5.5,7.9,28.1
한려해상,5.6,7.6,6.7,7.7,7.7,6.8,5.9,6.3,5.6,6.0,9.3,8.1,13.7,12.4,10.1,10.9,9.3,7.9,3.9,3.0,3.0,3.1,7.7,8.5,12.3,9.9,9.0,9.0,8.1,8.4,7.1,6.3,6.8,6.5,8.2,8.2,7.7,13.7
오대산,5.6,7.3,6.1,6.0,5.2,3.9,4.0,5.3,4.8,5.0,10.8,6.5,9.8,7.2,5.3,5.8,4.8,4.7,5.1,7.4,4.8,6.3,14.3,10.2,11.5,8.4,7.0,7.6,6.1,5.6,14.2,9.7,8.5,4.9,15.6,9.6,7.4,15.6
북한산,2.9,9.8,5.4,7.5,6.6,6.7,4.9,4.6,5.5,8.2,9.2,9.2,9.1,8.2,6.6,6.8,5.7,6.2,5.2,7.5,4.7,10.7,10.8,9.4,7.3,7.2,7.9,9.4,7.5,6.8,6.8,4.4,6.2,7.1,12.7,9.5,7.3,12.7
소백산,3.9,4.9,6.0,11.1,5.5,5.1,5.3,9.5,6.9,5.3,6.0,4.4,5.2,5.0,5.7,9.5,7.0,6.2,8.2,10.5,8.2,6.7,7.9,6.8,5.1,5.6,7.1,11.4,6.7,6.6,10.1,10.3,9.1,6.3,7.8,5.7,7.0,11.4
변산반도,4.0,6.2,8.0,9.2,7.9,5.9,5.2,4.4,4.5,5.9,7.2,5.8,7.3,5.9,7.8,9.2,8.0,6.7,5.2,5.1,4.6,6.8,7.7,7.1,7.6,6.5,7.9,7.7,7.5,6.2,4.9,4.1,4.6,6.4,12.7,6.5,6.6,12.7
태백산,10.1,5.1,3.1,3.5,3.1,4.4,5.8,8.9,5.3,4.0,4.4,3.1,5.4,5.7,3.1,3.3,2.6,5.0,6.5,8.8,5.4,4.3,4.9,6.1,6.5,5.7,4.2,5.0,3.2,3.8,12.7,13.3,9.4,3.8,4.4,3.7,5.5,13.3
가야산,4.0,6.6,4.3,5.5,5.0,4.9,3.6,3.5,6.3,7.3,7.2,3.9,6.1,3.6,3.2,4.5,5.9,4.5,3.7,3.7,5.4,7.1,8.5,5.6,5.1,4.4,4.9,5.7,5.9,5.2,4.5,3.5,4.1,5.8,9.7,5.6,5.2,9.7
금정산,2.1,4.2,4.8,8.1,8.7,15.8,9.7,7.1,13.6,42.7,9.8,3.3,1.9,3.5,2.9,2.1,1.6,2.0,2.1,2.2,2.7,2.0,1.9,2.0,2.6,1.3,2.5,0.4,0.6,0.7,0.7,0.9,0.8,0.4,0.6,0.3,4.7,42.7
무등산,1.6,2.8,2.5,3.1,3.1,2.9,4.6,6.5,4.4,4.4,4.5,3.0,3.3,3.6,3.3,3.5,3.0,2.6,5.5,5.3,3.8,3.3,3.3,3.0,2.4,2.9,3.3,3.8,3.4,2.8,2.9,5.6,8.2,4.7,5.3,4.7,3.8,8.2
팔공산,1.8,3.2,2.4,3.6,3.9,3.7,3.3,3.5,4.8,4.4,3.7,3.5,2.8,2.7,2.9,4.5,5.7,4.0,3.0,3.0,4.0,4.0,3.9,3.2,3.3,3.0,3.4,4.1,3.8,6.7,4.6,4.9,4.7,4.4,5.2,4.4,3.8,6.7
치악산,3.2,4.8,3.2,4.2,4.0,3.8,2.3,2.7,2.5,2.9,3.6,3.0,3.5,3.1,3.0,3.2,3.0,3.2,3.4,3.8,3.8,4.7,4.9,4.0,4.5,3.6,4.0,3.9,4.1,4.1,4.5,3.0,3.7,3.6,6.2,4.5,3.7,6.2
월출산,1.4,1.8,2.3,3.9,3.7,4.1,3.5,3.8,3.0,3.8,5.8,7.2,3.1,2.9,2.7,3.1,4.2,3.5,3.3,3.3,2.9,4.0,5.4,4.2,3.3,3.2,3.1,3.4,3.6,3.4,2.9,2.6,3.5,3.8,5.3,4.2,3.6,7.2
속리산,1.8,3.8,3.1,3.0,2.6,2.4,1.9,1.5,1.6,4.0,4.5,2.5,3.3,3.7,3.5,3.7,3.7,2.8,2.3,2.0,1.8,3.9,4.2,3.7,3.9,4.0,4.0,4.7,4.3,4.4,3.7,2.0,2.1,3.5,6.7,4.2,3.3,6.7
계룡산,1.8,3.7,2.6,3.0,3.3,2.9,2.4,2.4,2.1,3.8,3.9,3.0,3.4,3.5,3.9,3.2,3.0,2.5,2.4,2.6,1.9,2.9,3.8,3.0,2.8,3.1,2.9,3.5,4.0,3.4,2.6,2.1,2.8,3.4,5.3,3.4,3.1,5.3
경주,1.1,1.8,1.8,2.7,2.4,2.1,2.4,1.8,2.1,3.3,3.5,2.5,2.5,2.1,2.2,2.7,3.2,2.8,2.1,2.3,2.1,3.9,4.7,4.1,3.7,3.3,3.5,4.8,3.6,3.6,3.2,2.4,2.9,4.0,5.9,4.2,3.0,5.9
다도해해상,0.8,1.5,1.3,1.3,1.7,1.5,1.4,1.4,1.2,1.1,1.7,1.8,1.7,1.9,1.7,2.0,2.1,2.1,1.4,1.6,1.1,1.6,4.5,3.6,7.5,4.9,5.6,5.2,4.4,3.7,3.1,2.9,2.9,3.8,4.7,4.8,2.7,7.5
태안해안,1.3,2.3,2.3,2.5,2.6,2.4,1.7,1.5,1.5,1.9,3.2,2.7,3.7,3.2,2.7,2.8,2.4,2.1,1.5,1.6,1.5,2.2,3.8,3.6,4.1,4.0,4.4,4.0,3.6,2.6,2.4,1.8,2.1,2.3,4.0,3.9,2.7,4.4
