분야,연도,순위,키워드,빈도,기사수,출현율(%)
구조활동,2026,1,초등생,464,1142,40.6
구조활동,2026,2,주왕산,451,1142,39.5
구조활동,2026,3,실종,419,1142,36.7
구조활동,2026,4,수색,141,1142,12.3
구조활동,2026,5,숨진,141,1142,12.3
구조활동,2026,6,발견,136,1142,11.9
구조활동,2026,7,청송,110,1142,9.6
구조활동,2026,8,사망,91,1142,8.0
구조활동,2026,9,주왕산서,85,1142,7.4
구조활동,2026,10,이틀째,80,1142,7.0
구조활동,2026,11,헬기,72,1142,6.3
구조활동,2026,12,구조,66,1142,5.8
구조활동,2026,13,손상,66,1142,5.8
구조활동,2026,14,만에,64,1142,5.6
구조활동,2026,15,설악산,63,1142,5.5
구조활동,2026,16,추락,61,1142,5.3
구조활동,2026,17,부검,57,1142,5.0
구조활동,2026,18,의한,56,1142,4.9
구조활동,2026,19,사흘째,56,1142,4.9
구조활동,2026,20,1차,54,1142,4.7
구조활동,2025,1,설악산,42,748,5.6
구조활동,2025,2,60대,41,748,5.5
구조활동,2025,3,합동,38,748,5.1
구조활동,2025,4,산악사고,38,748,5.1
구조활동,2025,5,대비,35,748,4.7
구조활동,2025,6,한라산,34,748,4.5
구조활동,2025,7,강원,33,748,4.4
구조활동,2025,8,사고,30,748,4.0
구조활동,2025,9,산불,28,748,3.7
구조활동,2025,10,항공기,28,748,3.7
구조활동,2025,11,가을철,26,748,3.5
구조활동,2025,12,결항,25,748,3.3
구조활동,2025,13,여객선,25,748,3.3
구조활동,2025,14,제주,24,748,3.2
구조활동,2025,15,구조,24,748,3.2
구조활동,2025,16,CJ대한통운,24,748,3.2
구조활동,2025,17,속출,23,748,3.1
구조활동,2025,18,캠페인,22,748,2.9
구조활동,2025,19,수상,19,748,2.5
구조활동,2025,20,패키지,19,748,2.5
구조활동,2024,1,등산객,37,468,7.9
구조활동,2024,2,산악사고,35,468,7.5
구조활동,2024,3,구조,29,468,6.2
구조활동,2024,4,대비,25,468,5.3
구조활동,2024,5,지리산,19,468,4.1
구조활동,2024,6,광주,19,468,4.1
구조활동,2024,7,합동,19,468,4.1
구조활동,2024,8,40대,17,468,3.6
구조활동,2024,9,합동훈련,15,468,3.2
구조활동,2024,10,가을철,14,468,3.0
구조활동,2024,11,특수산악구조팀,14,468,3.0
구조활동,2024,12,을사년,13,468,2.8
구조활동,2024,13,산악구조,13,468,2.8
