게시일자,공원명,소재지,분야_자동분류,세부분류_자동분류,뉴스제목,뉴스매체,url,공원판정근거,분류방법
2026-09-04,(전체·공통),전국·공통,구조활동,실종·수색,[세계날씨 이럴수가] 네팔 홍수 생존자 수색 계속… 이탈리아 덮친 토네...,newscj.com,https://www.newscj.com/news/articleView.html?idxno=3429773,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-04,(전체·공통),전국·공통,구조활동,기타,"가을을 찾아 떠난 여정, 그곳에서 만난 5곳의 아만",travie.com,https://www.travie.com/news/articleView.html?idxno=55952,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-04,(전체·공통),전국·공통,구조활동,기타,럭셔리 여행 이렇게 달라졌다! 트래비가 정리한 트렌드 리포트,travie.com,https://www.travie.com/news/articleView.html?idxno=55930,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,가야산,경북·경남,구조활동,심정지·응급질환,[뉴컬매뉴얼] 3년간 심정지 66명 발생… 9월 덮친 말벌떼,nc.press,https://www.nc.press/news/articleView.html?idxno=625528,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,(전체·공통),전국·공통,구조활동,출동·대응,"KAI, 해경 '흰수리' 11호기 계약…노후 헬기 대체",gndomin.com,http://www.gndomin.com/news/articleView.html?idxno=487966,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,(전체·공통),전국·공통,구조활동,헬기·이송,"러시아산 KA-32 대체…해경, 국산 수리온 기반 ‘흰수리’ 11호기 도입",news2day.co.kr,https://www.news2day.co.kr/article/20260903500118,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,(전체·공통),전국·공통,구조활동,기타,"[TRAVEL] 영혼의 울림, 거대한 평화의 품 리우데자네이루(Rio de Janeiro)",fpn119.co.kr,http://fpn119.co.kr/256064,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-02,덕유산,전북·경남,구조활동,출동·대응,무주군 함께 걷고 함께 나누는 실천프로젝트 발대식,sjbnews.com,https://sjbnews.com/news/news.php?number=886655,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-02,(전체·공통),전국·공통,구조활동,헬기·이송,"KAI, 해경에 국산 헬기 '흰수리' 1대 공급...2029년 납품",joongangenews.com,https://www.joongangenews.com/news/articleView.html?idxno=544998,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-02,(전체·공통),전국·공통,구조활동,출동·대응,"KAI, 경찰청 ‘참수리’ 15호기ㆍ해경과 ‘흰수리’ 11호기 계약 잇달아...",dnews.co.kr,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202609021634438190453,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
