게시일자,공원명,소재지,분야_자동분류,세부분류_자동분류,뉴스제목,뉴스매체,url,공원판정근거,분류방법
2026-09-04,경주,경북 경주,기타,미분류,[진경수의 산행공부(山行工夫)] 신라 천년의 흥망성쇠 품은 '남산(금오...,bzeronews.com,https://www.bzeronews.com/news/articleView.html?idxno=822149,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-04,무등산,광주·전남,행정,협약·협력,무등산 누비는 '대학생 구조대' 뜬다,gjdream.com,http://www.gjdream.com/news/articleView.html?idxno=672382,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-04,(전체·공통),전국·공통,탐방시설,해설·교육,"2030 새 취미, 느긋한데 짜릿해…‘힐링과 도파민 사이’ 오래 기다려 발...",khan.co.kr,https://www.khan.co.kr/article/202609040700005,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-04,(전체·공통),전국·공통,구조활동,기타,럭셔리 여행 이렇게 달라졌다! 트래비가 정리한 트렌드 리포트,travie.com,https://www.travie.com/news/articleView.html?idxno=55930,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,지리산,전남·전북·경남,탐방시설,기타,전북기상청과 함께하는 '기상·기후 사진전' 지리산 국립공원 전북사무...,domin.co.kr,http://www.domin.co.kr/news/articleView.html?idxno=1567397,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,경주,경북 경주,자원보전,식생·개화,[탐사보도-소나무재선충병⑲] 경주 소나무재선충병 '극심'…올해 5개월...,bzeronews.com,https://www.bzeronews.com/news/articleView.html?idxno=822011,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,계룡산,대전·충남,탐방시설,탐방로,"계룡시, 군문화축제 기간 ‘계룡하늘소리길 특별 탐방’ 운영",segyebiz.com,http://www.segyebiz.com/newsView/20260903507864?OutUrl=naver,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한려해상,경남·전남,행정,인사·조직,"경남병무청장, 한려해상국립공원사무소 방문 사회복무요원 격려",gndomin.com,http://www.gndomin.com/news/articleView.html?idxno=487909,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한라산,제주,기타,미분류,"고석준 ""제주신항 2035년 완공, 정부 협의 늦어지면 공약에 그쳐""",gukjenews.com,https://www.gukjenews.com/news/articleView.html?idxno=3684201,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한라산,제주,기타,미분류,"제주 한라산 등정인증서, 9월부터 온라인으로 무료 발급",headlinejeju.co.kr,https://www.headlinejeju.co.kr/news/articleView.html?idxno=598447,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한라산,제주,기타,미분류,"한라산 등정인증서, 줄 안 서고 누리집서 무료 발급",gukjenews.com,https://www.gukjenews.com/news/articleView.html?idxno=3683513,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한라산,제주,탐방시설,편의·무장애,"한라산 등정인증서, 9월부터 누리집서 무료 발급",jejudomin.co.kr,https://www.jejudomin.co.kr/news/articleView.html?idxno=321990,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,한라산,제주,기타,미분류,"한라산 등정인증서, 홈페이지에서 보다 편하게 발급받으세요",mediajeju.com,https://www.mediajeju.com/news/articleView.html?idxno=366043,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,내장산,전북·전남,자원보전,식생·개화,내장산국립공원에 희귀 자생식물 '백양꽃' 만개,jeonmin.co.kr,http://www.jeonmin.co.kr/news/articleView.html?idxno=446348,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,내장산,전북·전남,탐방시설,탐방객 동향,내장산국립공원 붉게 수놓은 '백양꽃' 물결...탐방객들 발길 사로잡아,jbsori.com,http://www.jbsori.com/news/articleView.html?idxno=17829,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,내장산,전북·전남,탐방시설,탐방로,내장산 백양꽃 만개…붉게 물든 가을 꽃길,jeollailbo.com,http://www.jeollailbo.com/news/articleView.html?idxno=809924,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,내장산,전북·전남,탐방시설,탐방객 동향,"[픽! 정읍] ""붉은 꽃길 걸어볼까""…내장산국립공원 백양꽃 절정",yna.co.kr,https://www.yna.co.kr/view/AKR20260903038900055?input=1195m,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-09-03,가야산,경북·경남,탐방시설,탐방로,성주 가야산 백운동지구 등 안전점검,seongjuro.co.kr,https://www.seongjuro.co.kr/news/view.php?idx=60868,제목,규칙기반 자동분류(제목·요약 낱말 대조)
