게시일자,공원명,소재지,분야_자동분류,세부분류_자동분류,뉴스제목,뉴스매체,url,공원판정근거,분류방법
2026-08-17,지리산,전남·전북·경남,행정,기타,[정책브리핑] 2026년 08월 17일 월요일 주요 정책,sisunnews.co.kr,http://www.sisunnews.co.kr/news/articleView.html?idxno=244346,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,지리산,전남·전북·경남,행정,기타,지리산 천왕봉서 발견된 392자 바위글씨...내용은,edaily.co.kr,https://www.edaily.co.kr/news/newspath.asp?newsid=01682646645547976,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,인사·조직,[포토] 국립공원 내 광복 의미가 담긴 역사 문화자원,womentimes.co.kr,https://www.womentimes.co.kr/news/articleView.html?idxno=105302,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,지정·구역,7만3000호 신규택지 임박…서울 그린벨트 열릴까,kfenews.co.kr,https://www.kfenews.co.kr/news/articleView.html?idxno=662541,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,기타,'7.3만호+α' 후보지 이르면 내달 공개… 서울 그린벨트 촉각,newscj.com,https://www.newscj.com/news/articleView.html?idxno=3425530,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,연구·용역,‘7.3만호+α’ 신규택지 내달 발표…서울 그린벨트·용산공원 포함될까,viva100.com,https://www.viva100.com/article/20260816500052,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,지정·구역,서울시 반대 속 그린벨트 해제될까…‘7.3만호+α’ 신규택지 발표에 관...,seoul.co.kr,https://www.seoul.co.kr/news/economy/estate/2026/08/16/20260816500015?wlog_tag3=naver,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,협약·협력,'7.3만 가구+α' 신규택지 내달 윤곽… 서울 그린벨트 빗장 풀리나,etoday.co.kr,https://www.etoday.co.kr/news/view/2615014,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-16,(전체·공통),전국·공통,행정,기타,"[월드 투데이] ""트럼프가 통치하는 미국에는 안 간다""…다른 여행지로 ...",wikileaks-kr.org,http://www.wikileaks-kr.org/news/articleView.html?idxno=191004,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-15,지리산,전남·전북·경남,행정,지정·구역,"오늘 일출·일몰시간, ""16일(일) 전국 해돋이 명소, 해 뜨는 시간과 해 ...",lecturernews.com,https://www.lecturernews.com/news/articleView.html?idxno=208494,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-15,설악산,강원,행정,기타,광복절 동해안 해수욕장에 35만명 '풍덩'…막바지 피서 절정(종합),news1.kr,https://www.news1.kr/local/kangwon/6260334,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-15,(전체·공통),전국·공통,행정,기타,"""이름 없는 독립운동가의 재조명""…'국립공원'으로 거듭날 효창공원",korea.kr,https://www.korea.kr/news/reporterView.do?newsId=148969901&call_from=naver_news,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,지리산,전남·전북·경남,행정,기타,지리산 천왕봉에 새긴 독립 염원…국립공원에 남은 선열의 흔적,yna.co.kr,https://www.yna.co.kr/view/PYH20260814004200530?input=1196m,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,지리산,전남·전북·경남,행정,기타,국립공원에 새겨진 선열들의 독립염원...국립공원공단 3D자료 구축,news.bbsi.co.kr,https://news.bbsi.co.kr/news/articleView.html?idxno=4100827,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,지리산,전남·전북·경남,행정,기타,"국립공원공단, 공원 내 독립운동 역사문화자원 재조명",viva100.com,https://www.viva100.com/article/20260814500141,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,지리산,전남·전북·경남,행정,기타,"국립공원공단, 광복절 맞아 독립운동 '역사문화자원' 소개",electimes.com,https://www.electimes.com/news/articleView.html?idxno=371304,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,북한산,서울·경기,행정,기타,북한산 백운대엔 3·1독립만세운동 알리려 새긴 글씨,yna.co.kr,https://www.yna.co.kr/view/PYH20260814003100530?input=1196m,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,월악산,충북·경북,행정,지정·구역,'새들 쉬어 넘는 고개' 옛말…숲길 20리 '맨발족 성지' [山文기행],san.chosun.com,http://san.chosun.com/news/articleView.html?idxno=26038,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,팔공산,대구·경북,행정,협약·협력,"대구시민안전테마파크-팔공산국립공원, 업무협약 체결",fpn119.co.kr,http://fpn119.co.kr/255305,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,(전체·공통),전국·공통,행정,기타,"연휴 전국 많은 비... ""호우 땐 외출 삼가세요""",public25.com,https://www.public25.com/news/articleView.html?idxno=52760,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-14,(전체·공통),전국·공통,행정,기타,하늘과 맞닿은 곳에 아로새긴 '광복의 염원',imnews.imbc.com,https://imnews.imbc.com/replay/2026/nwtoday/article/6844689_37012.html,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-13,한려해상,경남·전남,행정,인사·조직,"태양광패널로 만든 변화, 한려해상국립공원 에너지자립마을 탄생",gndomin.com,http://www.gndomin.com/news/articleView.html?idxno=485448,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-13,(전체·공통),전국·공통,행정,의회·국정감사,"민주당 당 대표 후보 3인, 마지막 TV토론회에서도 '과거사 공방'",wolyo.co.kr,https://www.wolyo.co.kr/news/articleView.html?idxno=316403,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-13,(전체·공통),전국·공통,행정,기타,[심정우 칼럼] 용산은 '빽빽한 콘크리트'가 아닌 '무한한 백지'여야 한다,thepublic.kr,https://www.thepublic.kr/news/articleView.html?idxno=314797,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,계룡산,대전·충남,행정,협약·협력,"[포토] 계룡산국립공원, 배재대 간호학과 '바이탈안전센터 운영 업무협...",chungnamilbo.co.kr,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=903785,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,계룡산,대전·충남,행정,협약·협력,"계룡산국립공원·배재대학교, '바이탈안전센터 운영 업무협약' 체결",m-i.kr,https://www.m-i.kr/news/articleView.html?idxno=1401337,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,북한산,서울·경기,행정,기타,유니에스 '청년일경험' 6기 참여자 모집,newsprime.co.kr,http://www.newsprime.co.kr/news/article.html?no=743683,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,(전체·공통),전국·공통,행정,기타,"""검룡소에서 두물머리까지 130㎞ 걷는다"" '우리강 도보 생명순례' 21일 ...",financialreview.co.kr,http://www.financialreview.co.kr/news/articleView.html?idxno=44174,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,(전체·공통),전국·공통,행정,인사·조직,"[중화학노트] SGC그룹, 주거 환경 개선 ESG 활동 전개 外",news.dealsitetv.com,https://news.dealsitetv.com/articles/174596,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-12,(전체·공통),전국·공통,행정,의회·국정감사,'李정부 뒷받침'은 어디로…'네거티브만' 남은 민주 당권경쟁[여의뷰],inews24.com,http://www.inews24.com/view/1994015,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-11,설악산,강원,행정,지정·구역,설악산 불법·무질서 행위 특별단속.. 3건 적발,mbceg.co.kr,https://www.mbceg.co.kr/post/139092,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-11,내장산,전북·전남,행정,인사·조직,"""단풍 명산의 자존심 지킨다"" 한경동 소장이 그리는 '내장산의 미래'",domin.co.kr,http://www.domin.co.kr/news/articleView.html?idxno=1564826,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-11,다도해해상,전남,행정,인사·조직,선상해양평화캠프 인사말하는 정근식 교육감,news1.kr,https://www.news1.kr/photos/8051096,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-11,(전체·공통),전국·공통,행정,의회·국정감사,"미추홀구의회, 개원 한 달 만에 2천만 원대 몽골 출장 강행…""지방외교...",ppss.kr,https://www.ppss.kr/news/articleView.html?idxno=305085,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,경주,경북 경주,행정,지정·구역,[포토] 경주 남산 일대 곳곳 '붉은 소나무',kyongbuk.co.kr,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4080800,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,한려해상,경남·전남,행정,인사·조직,[정책브리핑] 2026년 08월 10일 월요일 주요 정책,sisunnews.co.kr,http://www.sisunnews.co.kr/news/articleView.html?idxno=243904,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,오대산,강원,행정,기타,"포스코DX, 장애인 유튜브 콘텐츠 공모전 31일까지 접수",dt.co.kr,https://www.dt.co.kr/article/12077534?ref=naver,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,월출산,전남,행정,예산·재정,"영암군, 군민발전소·송전선로 등 현안 7건 정부에 건의",thereport.co.kr,https://www.thereport.co.kr/news/articleView.html?idxno=90310,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,금정산,부산·경남,행정,지정·구역,"부산관광공사, 광화문 21일 승부 방문객 7,785명 부산여행에 몰렸다",newstown.co.kr,http://www.newstown.co.kr/news/articleView.html?idxno=711920,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,금정산,부산·경남,행정,지정·구역,"부산관광공사, 서울서 ‘부산 여행’ 홍보 팝업 부스 운영",metroseoul.co.kr,http://www.metroseoul.co.kr/article/20260810500537,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,금정산,부산·경남,행정,지정·구역,"부산관광공사, 광화문서 부산여행 알렸다…21일간 7785명 방문",viva100.com,https://www.viva100.com/article/20260810501033,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,금정산,부산·경남,행정,지정·구역,"부산관광공사, ‘서울썸머비치’ 부산여행 팝업 이벤트에 7천여 명 몰려",busan.com,https://www.busan.com/view/busan/view.php?code=2026081014234403734,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,금정산,부산·경남,행정,지정·구역,'2026 서울썸머비치' 부산여행 팝업에 7천여 명 몰려,cnbnews.com,https://www.cnbnews.com/news/articleView.html?idxno=1010910,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,기타,"""장애 아닌 나만의 개성을 영상으로""…포스코DX, 크리에이터 꿈 키운다",kyongbuk.co.kr,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4080793,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"포스코DX, 장애인 유튜브 크리에이터 꿈 키운다",hidomin.com,https://www.hidomin.com/news/articleView.html?idxno=716704,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,협약·협력,국립공원 문화유산지구의 새 시대를 열다,naeil.com,https://www.naeil.com/news/read/598252?ref=naver,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"포스코DX, 장애인 유튜브 크리에이터 지원 '꿈을Green다' 공모",fnnews.com,http://www.fnnews.com/news/202608101054140478,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,기타,"포스코DX, 장애인 유튜브 공모전 '꿈을 Green다' 개최",inews24.com,http://www.inews24.com/view/1993383,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"""장애인 유튜브 크리에이터 꿈 키워요""…포스코DX 공모전 개최",ddaily.co.kr,https://www.ddaily.co.kr/page/view/2026081010270595988,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"포스코DX, ‘꿈을Green다’ 공모전 개최…“장애인 유튜브 크리에이터 ...",biz.chosun.com,https://biz.chosun.com/it-science/ict/2026/08/10/QOSRU4BQG5BNPBF546TWLMP7OU/?utm_source=naver&utm_medium=original&utm_campaign=biz,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"포스코DX, '꿈을Green다' 프로젝트 운영…장애인 유튜브 크리에이터 지...",etnews.com,https://www.etnews.com/20260810000093,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,인사·조직,"포스코DX, '꿈을Green다' 개최…장애인 유튜버 키운다",daily.hankooki.com,https://daily.hankooki.com/news/articleView.html?idxno=1394098,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,지정·구역,[경기도 소식] '경기인디뮤직페스티벌' 최종 출연진 공개 등,iminju.net,http://www.iminju.net/news/articleView.html?idxno=167843,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,지리산,전남·전북·경남,행정,인사·조직,"야간경제로 살아나는 함양 원도심, 야시장이 마중물 됐다",ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003257828&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,지정·구역,[지구촌 이색 환경정책 리포트] “쓰레기장에 버리기 전에 가져가세요...,dailyt.co.kr,https://www.dailyt.co.kr/newsView/dlt202608100001,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-10,(전체·공통),전국·공통,행정,기타,원정출산 과거 일이라 괜찮다?…앞으론 입국 거부될 수도,thescoop.co.kr,https://www.thescoop.co.kr/news/articleView.html?idxno=311192,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-09,한려해상,경남·전남,행정,지정·구역,"기후부 국립공원공단, 해양쓰레기 주민자율수거사업 확대...주민이 수거...",econonews.co.kr,http://www.econonews.co.kr/news/articleView.html?idxno=442552,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-09,가야산,경북·경남,행정,지정·구역,"합천의 여름, 물결 따라 역사 따라 가볼 만한 곳",joongangenews.com,https://www.joongangenews.com/news/articleView.html?idxno=536958,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-09,소백산,충북·경북,행정,인사·조직,"주대영 국립공원공단 이사장, 물놀이 안전사고 예방 안전점검 실시",cctimes.kr,http://www.cctimes.kr/news/articleView.html?idxno=920820,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-09,(전체·공통),전국·공통,행정,기타,“고기·김치까지 나왔다”…日 유명 관광지에 버려진 ‘한국 종량제봉...,sedaily.com,https://www.sedaily.com/article/20077310?ref=naver,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-08,(전체·공통),전국·공통,행정,법령·제도,"트럼프 백악관 연회장 건설 법원이 또 제동…""대통령은 세입자""",mt.co.kr,https://www.mt.co.kr/world/2026/08/08/2026080808214451752,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-08,(전체·공통),전국·공통,행정,기타,"6·25 전장의 신원미상 병사… 美, 800번째 이름 찾아줬다",chosun.com,https://www.chosun.com/international/international_general/2026/08/08/PDZHO3JRZZCB5HGKTZL3G6ZPS4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,해당없음,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-07,지리산,전남·전북·경남,행정,연구·용역,국산 위성 활용해 지리산 산림 변화 확인,naeil.com,https://www.naeil.com/news/read/598043?ref=naver,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-07,한려해상,경남·전남,행정,인사·조직,[정책브리핑] 2026년 08월 07일 금요일 주요 정책,sisunnews.co.kr,http://www.sisunnews.co.kr/news/articleView.html?idxno=243814,요약,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-07,소백산,충북·경북,행정,인사·조직,"주대영 국립공원공단 이사장, 소백산서 물놀이 안전실태 점검",news1.kr,https://www.news1.kr/local/kangwon/6252814,제목,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-07,경주,경북 경주,행정,지정·구역,"[여행 브리프] 관광공사, 한국관광 데이터 세미나 외",edaily.co.kr,https://www.edaily.co.kr/news/newspath.asp?newsid=03322646645545024,요약,규칙기반 자동분류(제목·요약 낱말 대조)
