게시일자,공원명,영문공원명,국가,대륙,기사언어,분야_자동분류,뉴스제목,뉴스매체,url,분류방법
2026-08-28,도냐나 국립공원,Doñana National Park,스페인,유럽,한국어,재난안전,"자산운용사, 폭염 여파로 기후 위험·기회 반영 고심...공시 중요성 커...",esgeconomy.com,https://www.esgeconomy.com/news/articleView.html?idxno=16530,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,밴프 국립공원,Banff National Park,캐나다,북아메리카,한국어,자원보전,[지구촌 이색 환경정책 리포트] 동물이 주인인 '초록 다리'부터 처방전...,dailyt.co.kr,https://www.dailyt.co.kr/newsView/dlt202608280001,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,얄라 국립공원,Yala National Park,스리랑카,아시아,한국어,기타,하노이·호찌민부터 구이린·히로시마까지…신규 취항 '러시',traveltimes.co.kr,https://www.traveltimes.co.kr/news/articleView.html?idxno=500285,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,브라이스 캐니언 국립공원,Bryce Canyon National Park,미국,북아메리카,영어,기타,Kodachrome Basin State Park is a hidden gem just 30 minutes from Bryce Canyon Nat'l Park,FOX 13 News Utah,https://news.google.com/rss/articles/CBMivwFBVV95cUxOejhqaGpPeHg0NHBxTVZ1VF8zQzczLUlQcmpXNmRWTTN2YWh5dkY5eWZwR1N2SkdnR1RTWG9hdFNsZzA2RndEbFAxNjNjNFpTWTc4bXZHcU5zU2VLQW5LWUlQV2xSTFA4aUlySVhMaEdVRHJaa2ZYMFBmNjN3NUdVUk1fZXYzaWJscDROVE9nREV3VE1ZSWYxZmtHcVZJaWlGZ2FpLXFybkJtVmxOLUZfSGNBTWR5NWNOQ2dtVzgwMA?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,그레이트스모키 산맥 국립공원,Great Smoky Mountains National Park,미국,북아메리카,영어,탐방시설,How the Great Smoky Mountains National Park uses parking fees,Yahoo,https://news.google.com/rss/articles/CBMikwFBVV95cUxNWjdiR0ZaLUZaYm9pOGVrVmxrTnU5cXNaSm9ObmN4LVZwVHVmcmN6OGJWSmNHeWhLQnlrT0pYc0NVUDNyemtDV1FCMG5MZlhveXZNRU1PUVRhVkVfOWdWdlBRbld1SDJySFlaYVBEck14U0hHQXhvdS1ua2VjcnVRejgxS29WS25kd29PWXlhOG5vT1k?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,그레이트스모키 산맥 국립공원,Great Smoky Mountains National Park,미국,북아메리카,영어,기타,'Great Smoky Mountains National Park',OregonLive.com,https://news.google.com/rss/articles/CBMickFVX3lxTE44ZE1FamhwWUVzendZa1Q5MzVTcEdSM3ItU0tyYXFzT1FWWWpTSHV1TExmaGh2dnB3TUxzaTZrb2NXcklIemlLMTJscG9JLWtlODB3cG95N0NoZFF3SVdqWlRRalZiQ2FZWGZPV052RzVEUQ?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,그레이트스모키 산맥 국립공원,Great Smoky Mountains National Park,미국,북아메리카,영어,자원보전,Great Smoky Mountains National Park’s ridge of forest - Ad-hoc-news.de,Ad-hoc-news.de,https://news.google.com/rss/articles/CBMirgFBVV95cUxOY2gwZWlYM2V6VWxiZ3F1RG5zSXNIUjhTZlFKUUQwNTZBV3RhdEEtbEdFVjhRejIyS2puMmdSSXAtVi1xV0M3UXlnTWtnYTBGc185ZXNHN3hZNnJsWnYzTzB6QWJkd0dUMGtPekQtMF9lRU9laWY5Nlh5LXo5QU5rV3lpSS1jVXNjSTNmbmhhZmxLLWJId0ZiOExpWVRRcGkzT2J2QkpEcUQ3VDNRLWc?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,에버글레이즈 국립공원,Everglades National Park,미국,북아메리카,영어,재난안전,"Drought, then came fire. Where does that leave the Everglades?",Miami Herald,https://news.google.com/rss/articles/CBMifEFVX3lxTE1LaXBWSWwzQmR0OERZeDdZV1h4ckstakNCWDJQZEpUaTEtZWRqVHliYmlzbmIxRG11czFxbnB4N3dqcVhpZWdCS3ZJN1UxdFEwMVc2N21ma042aVdiOW1RbnY4djByTVAwaExXc0pOZi1tVjU5bDE0bEpCTE_SAXxBVV95cUxQdHpJaHd2cU8tNmlabU5sLXBQenVCRVdYYUxNcWo1TUs4R0ItbnhPY2ZiX3BMdGY1V1N1R1NQWEkybXY1T216d2U1WlFCdy1xM3Zpb1BCRWpYWlNYeG53bTdhdk9YU0dYT0NaRFlqbkxVWklVc1FsVlMwWHhN?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,French visitor dies in Death Valley National Park,Mammoth Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxONGxRbjJJbV80RXlmWEdoY2xMV1U3MGQ4Qkcxa2JyZHlORUY1MVIwdnQxdXhMVGtjSjBzOHV6amhFNUF2OWVKd0QwT18xdGY2MDVYQk1WNVJtMHlFaE5XcU1VNW5LdHhxbGRvbGs3SGpXckJFUkV2WXFxWWNRU1dwMllPZ2x6T25VMWQwVmttRVlQT0VIOEJoLWhFamFEcFZVckxibS1yQUF3YjlIcFRWbHJxZXJqNElnRmhkX1lZTlRfWmozZDMzMG5HUVloQQ?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,French tourist dies in Death Valley after getting stranded in 116-degree heat,Yahoo,https://news.google.com/rss/articles/CBMinAFBVV95cUxPSkEyVkxzVk9lMWJjbGIyT1BuZlJ3VGt1R2hCQ1ZtWUlsZXVROTFud2F5LU5wOXRBcjI1elNOd040NTloRjZ4dEZfZFREMnphWC1PUjZJdkhnOVVZdnVGeFBzeUZfWWJXbnAzOUsydi1IVXBBZjM5SWhmLUxkVkYweTY2UTlZSmZOSUhhcUw4UEtOdDM5RS1yUUI1em4?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
2026-08-28,테이데 국립공원,Teide National Park,스페인,유럽,영어,기타,Parque nacional del Teide and the vast volcanic bowl of Tenerife - Ad-hoc-news.de,Ad-hoc-news.de,https://news.google.com/rss/articles/CBMivAFBVV95cUxPLUQ3S3FzWVBWWkVsUEN1YmRLYkVVc0FIS1MyYnBSQU1ITjR5NElNaDM4NG02dG8zMXdEVW55MzNZWjg5TFAzbHNRRWJxOVJOX3FvaGc1RzVvRjlEdDhfUlpOU0ZRMXM4N0o0MDBLV0RHQzdXQTFKR081VWczVmVJQXNGUmEyUzVyR2xaeGI3dG5UenhfNk1Jc3VBbFoyNGVWWW9qdnk0OTlJcEVIQWwwTnlkN3dDdnpNRnlXQQ?oc=5,규칙기반 자동분류(제목·요약 낱말 대조)
