국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,483,423,384,1005,228,1642,4165
캐나다,40,115,137,327,34,357,1010
뉴질랜드,71,67,82,233,40,361,854
케냐,75,18,208,171,31,285,788
오스트레일리아,103,55,103,136,33,353,783
탄자니아,15,24,118,178,20,289,644
남아프리카 공화국,42,44,136,64,5,189,480
일본,7,13,93,189,22,110,434
나미비아,1,27,89,49,7,176,349
아르헨티나,17,16,75,153,11,71,343
크로아티아,13,3,11,184,10,111,332
네팔,23,15,68,69,19,136,330
콩고 민주 공화국,51,5,80,18,19,155,328
스위스,14,11,39,85,18,154,321
인도,29,30,61,14,15,171,320
브라질,7,17,43,97,9,118,291
영국,30,39,7,29,13,146,264
스리랑카,4,18,60,46,49,85,262
스페인,12,58,16,50,9,105,250
보츠와나,5,1,74,50,0,49,179
베트남,1,1,23,38,1,41,105
이탈리아,1,3,3,6,0,53,66
터키,0,1,0,40,2,21,64
중화인민공화국,2,5,20,5,2,28,62
아이슬란드,4,0,13,12,0,30,59
슬로베니아,4,0,3,25,4,22,58
몬테네그로,3,5,6,7,3,32,56
말레이시아,6,7,13,3,0,25,54
에콰도르,1,0,20,2,0,29,52
칠레,4,5,5,1,1,33,49
코스타리카,0,2,7,4,0,31,44
태국,5,3,2,2,2,29,43
베네수엘라,2,0,1,10,3,27,43
우간다,0,0,16,4,2,11,33
필리핀,6,0,3,1,0,19,29
프랑스,0,0,1,8,0,19,28
과테말라,1,0,1,1,0,25,28
슬로바키아,2,2,1,3,0,18,26
폴란드,3,0,12,3,2,2,22
에티오피아,0,2,1,1,1,16,21
그린란드,0,0,0,1,0,18,19
스웨덴,1,0,1,0,1,14,17
노르웨이,0,0,1,3,0,8,12
오스트리아,1,0,0,3,1,7,12
몽골,1,0,0,9,0,1,11
독일,0,0,0,1,0,9,10
모로코,0,1,0,1,0,7,9
인도네시아,0,3,1,0,0,3,7
마다가스카르,0,1,1,0,0,5,7
페루,0,0,0,0,0,3,3
